現チーム,選手名,年俸,SS,守備,数,年齢,生年月日,身長,体重,血液型,投打,出身地,外国人,地域,2020年打席あり,2019年打席あり,2018年打席あり,2020打率,2020試合,2020打席数,2020打数,2020得点,2020安打,2020二塁打,2020三塁打,2020本塁打,2020塁打,2020打点,2020盗塁,2020盗塁刺,2020犠打,2020犠飛,2020四球,2020敬遠,2020死球,2020三振,2020併殺打,2020出塁率,2020長打率,2019打率,2019試合,2019打席数,2019打数,2019得点,2019安打,2019二塁打,2019三塁打,2019本塁打,2019塁打,2019打点,2019盗塁,2019盗塁刺,2019犠打,2019犠飛,2019四球,2019敬遠,2019死球,2019三振,2019併殺打,2019出塁率,2019長打率,2018打率,2018試合,2018打席数,2018打数,2018得点,2018安打,2018二塁打,2018三塁打,2018本塁打,2018塁打,2018打点,2018盗塁,2018盗塁刺,2018犠打,2018犠飛,2018四球,2018敬遠,2018死球,2018三振,2018併殺打,2018出塁率,2018長打率
横浜,ロメロ,"75,000,000",1,投手,1,26,1994/12/24,183,104,,右右,ドミニカ共和国,1,海外,1,1,1,0.272,103,404,356,46,97,19,2,24,192,63,0,0,0,2,38,5,8,108,8,0.354,0.539,0.305,81,331,295,47,90,15,0,18,159,63,3,3,0,6,25,2,5,83,3,0.363,0.539,0.237,119,501,443,63,105,18,1,25,200,63,7,2,0,6,42,2,10,114,10,0.313,0.451
横浜,佐野　恵太,"70,000,000",1,外野手,5,26,1994/11/28,178,88,A,右左,岡山,0,中国,1,1,1,0.328,106,451,402,48,132,20,1,20,214,69,0,0,0,3,42,1,4,58,13,0.395,0.532,0.295,89,215,200,23,59,10,0,5,84,33,0,0,0,0,13,1,2,39,9,0.344,0.42,0.23,73,130,126,6,29,4,0,5,48,14,1,0,0,1,3,0,0,26,3,0.246,0.381
横浜,三上　朋也,"63,750,000",1,投手,8,32,1989/4/10,190,90,AB,右右,岐阜,0,中部,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,国吉　佑樹,"57,000,000",1,投手,12,29,1991/9/24,196,106,A,右右,大阪,0,関西,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,濵口　遥大,"55,000,000",1,投手,5,26,1995/3/16,173,80,B,左左,佐賀,0,九州・沖縄,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,柴田　竜拓,"55,000,000",1,内野手,6,27,1993/12/16,167,68,O,右左,岡山,0,中国,1,1,1,0.266,110,276,233,33,62,14,0,2,82,20,0,0,9,1,29,3,4,50,1,0.356,0.352,0.256,111,196,164,22,42,8,1,3,61,17,3,0,10,2,20,1,0,38,3,0.333,0.372,0.219,113,265,224,32,49,6,0,3,64,13,2,1,6,0,30,2,5,45,3,0.324,0.286
横浜,大貫　晋一,"52,500,000",1,投手,3,27,1994/2/3,181,73,AB,右右,神奈川,0,関東,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,神里　和毅,"52,000,000",1,外野手,4,27,1994/1/17,179,81,A,右左,沖縄,0,九州・沖縄,1,1,1,0.308,80,190,169,38,52,8,1,3,71,17,7,1,1,2,15,0,3,42,3,0.37,0.42,0.279,123,458,427,62,119,31,3,6,174,35,15,10,3,0,26,2,2,121,7,0.323,0.407,0.251,86,273,247,31,62,14,3,5,97,21,15,9,4,0,19,1,3,68,4,0.312,0.393
横浜,倉本　寿彦,"51,100,000",1,内野手,7,30,1991/1/7,180,85,B,右左,神奈川,0,関東,1,1,1,0.276,82,216,199,19,55,4,0,1,62,17,0,0,0,0,16,2,1,42,2,0.333,0.312,0.121,24,35,33,1,4,1,0,0,5,2,0,1,0,0,2,0,0,7,0,0.171,0.152,0.232,85,235,228,11,53,7,0,1,63,14,1,2,0,1,6,0,0,51,5,0.251,0.276
横浜,桑原　将志,"49,000,000",0,外野手,10,27,1993/7/21,174,78,B,右右,大阪,0,関西,1,1,1,0.139,34,42,36,8,5,0,0,1,8,2,0,0,1,1,3,0,1,11,2,0.22,0.222,0.186,72,115,102,14,19,3,1,2,30,7,2,0,3,0,9,0,1,26,0,0.259,0.294,0.261,127,421,379,57,99,24,5,9,160,26,17,3,7,0,32,1,3,71,3,0.324,0.422
横浜,ピープルズ,"48,000,000",0,投手,2,29,1991/9/5,196,86,,右右,アメリカ,1,海外,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,砂田　毅樹,"44,000,000",0,投手,8,25,1995/7/20,180,85,B,左左,北海道,0,北海道,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,上茶谷　大河,"43,000,000",0,投手,3,24,1996/8/31,182,83,B,右右,京都,0,関西,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,戸柱　恭孝,"41,600,000",0,捕手,6,30,1990/4/11,179,90,A,右左,鹿児島,0,九州・沖縄,1,1,1,0.212,96,276,259,21,55,8,1,5,80,23,0,2,5,1,11,0,0,53,8,0.244,0.309,0.2,45,111,100,6,20,4,2,1,31,6,0,0,2,1,7,0,1,22,2,0.257,0.31,0.179,25,59,56,5,10,2,0,1,15,6,0,0,1,0,2,0,0,9,3,0.207,0.268
横浜,東　克樹,"33,200,000",0,投手,4,25,1995/11/29,170,76,B,左左,三重,0,関西,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,乙坂　智,"33,000,000",0,外野手,10,27,1994/1/6,183,83,O,右左,神奈川,0,関東,1,1,1,0.208,85,115,101,17,21,3,0,1,27,7,5,0,1,1,12,0,0,28,2,0.289,0.267,0.245,97,179,159,19,39,8,2,2,57,17,6,3,3,1,14,2,2,33,3,0.313,0.358,0.204,73,109,93,16,19,2,0,0,21,7,3,3,2,2,12,1,0,22,0,0.29,0.226
横浜,平良　拳太郎,"33,000,000",0,投手,8,25,1995/7/12,180,80,O,右右,沖縄,0,九州・沖縄,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,嶺井　博希,"30,000,000",0,捕手,8,29,1991/6/4,175,85,B,右右,沖縄,0,九州・沖縄,1,1,1,0.327,41,60,55,2,18,3,0,0,21,8,0,0,0,0,4,0,1,14,1,0.383,0.382,0.211,64,130,114,13,24,4,1,2,36,12,0,0,5,0,7,0,4,23,5,0.28,0.316,0.177,91,230,209,10,37,7,0,5,59,25,0,0,6,1,6,2,8,56,9,0.228,0.282
横浜,中井　大介,"25,200,000",0,内野手,14,31,1989/11/27,183,90,B,右右,三重,0,関西,1,1,1,0.25,69,105,100,12,25,3,1,2,36,4,1,0,1,0,3,0,1,23,1,0.279,0.36,0.248,79,183,161,24,40,4,0,3,53,7,2,1,3,1,18,0,0,34,9,0.322,0.329,0.186,70,97,86,8,16,5,0,1,24,6,0,0,3,0,6,0,2,25,3,0.255,0.279
横浜,武藤　祐太,"22,000,000",0,投手,11,31,1989/6/14,178,85,O,右右,埼玉,0,関東,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,平田　真吾,"22,000,000",0,投手,8,31,1989/8/29,182,85,A,右右,山口,0,中国,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,伊勢　大夢,"21,000,000",0,投手,2,23,1998/3/7,182,90,A,右右,熊本,0,九州・沖縄,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,田中　俊太,"17,000,000",0,内野手,4,27,1993/8/18,178,82,O,右左,神奈川,0,関東,1,1,1,0.265,48,78,68,7,18,2,1,1,25,6,2,0,0,1,8,1,1,15,0,0.346,0.368,0.224,62,176,156,17,35,7,0,4,54,14,2,0,4,2,14,0,0,36,2,0.285,0.346,0.241,99,261,228,20,55,6,3,2,73,12,6,0,10,0,23,0,0,41,7,0.311,0.32
横浜,坂本　裕哉,"16,450,000",0,投手,2,23,1997/7/28,180,85,O,左左,福岡,0,九州・沖縄,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,入江　大生,"16,000,000",0,投手,1,22,1998/8/26,187,87,O,右右,栃木,0,関東,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,楠本　泰史,"13,750,000",0,外野手,4,25,1995/7/7,180,82,A,右左,大阪,0,関西,1,1,1,0.154,28,29,26,6,4,2,0,1,9,1,0,0,0,0,2,0,1,7,0,0.241,0.346,0.208,39,81,72,6,15,4,0,1,22,6,0,2,0,0,7,0,2,19,1,0.296,0.306,0.205,56,82,73,4,15,3,0,0,18,2,2,1,0,0,6,0,3,19,0,0.293,0.247
横浜,京山　将弥,"13,200,000",0,投手,5,22,1998/7/4,182,77,B,右右,滋賀,0,関西,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,牧　秀悟,"13,000,000",0,内野手,1,22,1998/4/21,178,93,O,右右,長野,0,中部,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,髙城　俊人,"12,500,000",0,捕手,10,27,1993/5/3,176,83,AB,右右,福岡,0,九州・沖縄,1,1,1,0.19,23,46,42,4,8,0,0,3,17,5,0,0,1,0,2,0,1,22,1,0.244,0.405,0.182,5,12,11,1,2,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0.25,0.182,0.136,28,75,66,7,9,1,0,0,10,3,2,0,4,1,2,0,2,25,1,0.183,0.152
横浜,風張　蓮,"12,000,000",0,投手,7,28,1993/2/26,182,88,AB,右右,岩手,0,東北,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,伊藤　裕季也,"11,550,000",0,内野手,3,24,1996/8/30,182,90,O,右右,三重,0,関西,1,1,0,0.286,5,17,14,1,4,0,1,0,6,1,0,0,1,0,2,1,0,2,0,0.375,0.429,0.288,21,57,52,7,15,4,0,4,31,7,0,0,0,1,3,0,1,17,1,0.333,0.596,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
横浜,山下　幸輝,"10,500,000",0,内野手,7,28,1993/1/31,174,85,B,右左,千葉,0,関東,1,0,1,0.209,39,46,43,2,9,2,0,0,11,1,0,0,0,0,3,0,0,7,1,0.261,0.256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.222,21,65,63,3,14,2,0,1,19,3,1,0,2,0,0,0,0,13,1,0.222,0.302
