,武将姓,武将名,統率,武勇,知略,内政,外政,戦闘,政治,合計,父親,姓読み,名読み,誕生年,登場年,没年,寿命,義理親,志,戦法,補佐,作戦,気質,野心,母親,武将姓名,列伝,父親有無,母親有無,志区分
23,兼平,綱則,60,58,67,58,64,118,122,307,-,かねひら,つなのり,1544年,1559年,1625年,82,-,領地保全,突撃,速攻,全軍突撃,実利,7,-,兼平綱則,津軽家臣。主君・為信の創業期を支えた大浦三老の１人。兼平家は大浦一族で、種里盛純（大浦盛信の弟）が兼平村を領した際に、地名を姓としたという。,0,0,0
24,森岡,信元,61,64,36,32,29,125,61,222,-,もりおか,のぶもと,1556年,1571年,1606年,51,-,領地保全,用心,斥候,神出鬼没,勲功,9,-,森岡信元,津軽家臣。主君・為信の創業期を支えた大浦三老の１人。石川高信との戦いに参加して和徳城を攻略、城主となる。のちに為信から叛意を疑われ謀殺された。,0,0,0
25,浪岡,顕村,34,40,43,61,51,74,112,229,浪岡具運,なみおか,あきむら,1555年,1570年,1602年,48,-,家名存続,気勢崩し,堅固,囮挑発,家名,6,-,浪岡顕村,浪岡北畠家当主。具運の子。安東愛季の娘を娶る。津軽為信に居城・浪岡城を落とされたため安東家を頼り、北畠弾正と改名した。落城時に自害したともいう。,1,0,0
26,斯波,経詮,47,42,66,63,66,89,129,284,斯波詮高,しば,つねあき,1495年,1510年,1559年,65,-,領地保全,足止め,回避,神出鬼没,家名,10,-,斯波経詮,奥州斯波家当主。詮高の嫡男。奥州斯波家は、足利尊氏の家臣・斯波家長が奥州管領として斯波郡に派遣され、高水寺城を築いて本拠としたことに始まる。,1,0,0
27,斯波,詮真,38,40,54,55,54,78,109,241,斯波経詮,しば,あきざね,1524年,1539年,1578年,55,-,領地保全,気勢崩し,堅固,囮挑発,家名,7,-,斯波詮真,奥州斯波家当主。経詮の子。隣国の南部家とたびたび争ったが、劣勢に追い込まれたため和睦。のちに九戸信仲の四男・高田康真を娘婿として迎えた。,1,0,0
28,斯波,詮直,25,33,29,39,27,58,66,153,斯波詮真,しば,あきなお,1550年,1565年,1619年,70,-,家名存続,臨戦,万全,囮挑発,家名,7,-,斯波詮直,奥州斯波家当主。詮真の子。南部信直の軍に敗れて逃走、各地に潜伏した。のちに南部家に仕えたが、大坂冬の陣の際、浪人となって京都に住んだという。,1,0,0
29,猪去,詮義,46,48,50,60,54,94,114,258,斯波詮高,いさり,あきよし,1505年,1520年,1564年,60,-,家名存続,気勢崩し,堅固,囮挑発,家名,6,-,猪去詮義,奥州斯波家臣。詮高の三男。父が雫石地方を攻略した際に、猪去館主となり、猪去御所を称した。猪去館は、斯波家滅亡の際に南部信直によって攻略された。,1,0,0
30,岩清水,義長,55,50,60,42,48,105,90,255,-,いわしみず,よしなが,1544年,1559年,1588年,45,-,所領拡大,臨戦,万全,囮挑発,才覚,4,-,岩清水義長,斯波家臣。肥後と称す。政務を省みず遊興に耽る主君・詮直をたびたび諫めるが聞き入れられなかったという。南部家が斯波家を滅ぼした際に、主家に殉じた。,0,0,0
31,岩清水,義教,45,56,65,51,58,101,109,275,-,いわしみず,よしのり,1547年,1562年,1606年,60,-,領地保全,足止め,回避,神出鬼没,実利,12,-,岩清水義教,斯波家臣。義長の弟。右京を称す。主家の前途に不安を抱き、南部家に内通。居城・石清水館で兵を挙げ、これをきっかけに南部軍が侵攻、斯波家は滅亡した。,0,0,0
32,簗田,詮泰,40,51,61,47,53,91,100,252,-,やなだ,あきやす,1539年,1554年,1593年,55,-,領地保全,足止め,回避,神出鬼没,勲功,10,-,簗田詮泰,斯波家臣。大学と称す。主家の前途に不安を抱き、石清水義教らとともに南部家に内通し、斯波家滅亡のきっかけを作った。のち南部家から千石を与えられた。,0,0,0
33,葛西,晴胤,42,45,52,49,49,87,98,237,-,かさい,はるたね,1497年,1512年,1555年,59,-,家名存続,臨戦,万全,囮挑発,家名,6,-,葛西晴胤,葛西家１５代当主。晴重の次男。寺池城主。兄・守信とその養子・晴清（伊達稙宗の子）がともに早世したため、家督を継ぐ。将軍・足利義晴の偏諱を受けた。,0,0,0
34,葛西,親信,27,33,38,46,39,60,85,183,葛西晴胤,かさい,ちかのぶ,1513年,1528年,1560年,48,-,所領拡大,臨戦,万全,囮挑発,家名,6,-,葛西親信,葛西家１６代当主。晴胤の嫡男。寺池城主。父の死後、葛西家の家督を継ぐ。しかし、病弱のため、さしたる事跡も残せぬまま、治世わずか５年で病没した。,1,0,0
35,葛西,晴信,47,44,51,56,53,91,109,251,葛西晴胤,かさい,はるのぶ,1534年,1549年,1597年,64,-,所領拡大,臨戦,万全,囮挑発,家名,10,-,葛西晴信,葛西家１７代当主。晴胤の次男。寺池城主。兄・親信の死後、家督を継ぐ。伊達家と結んで大崎家と戦った。豊臣秀吉の小田原征伐に参陣せず、改易された。,1,0,0
36,葛西,俊信,49,66,29,29,24,115,53,197,-,かさい,としのぶ,1579年,1594年,1635年,57,-,領地保全,早駆け,猛攻,本陣斬込,家名,3,-,葛西俊信,伊達家臣。父・重俊は胤重（晴信の弟）の子。兄・重信は宇和島伊達家に仕えて宇和島に赴いた。馬術の名手として知られ、京都で数回、妙技を披露している。,0,0,0
37,柏山,明吉,69,61,64,44,52,130,96,290,-,かしやま,あきよし,1530年,1545年,1595年,66,-,家名存続,用心,斥候,神出鬼没,家名,8,-,柏山明吉,葛西家臣。大林城主。柏山家は奥州千葉家の一族。胆沢郡の惣領職を務め、家中屈指の軍事力を誇っていた。葛西・大崎一揆で総大将を務めた柏山明宗の父。,0,0,0
38,柏山,明助,71,68,56,56,55,139,111,306,柏山明宗,かしやま,あきすけ,1578年,1590年,1624年,47,-,所領拡大,挟撃巧者,疾走,神出鬼没,才覚,7,-,柏山明助,葛西家臣。明宗の嫡男。主家滅亡後、南部家に仕える。岩崎城代を務め、和賀兵乱の鎮定などに活躍したが、剛勇ぶりを恐れた主君・利直によって毒殺された。,1,0,0
39,柏山,明長,56,66,57,30,38,122,68,247,柏山明吉,かしやま,あきなが,1557年,1572年,1586年,30,-,所領拡大,突撃,速攻,全軍突撃,実利,10,-,柏山明長,葛西家臣。柏山明吉の三男。小山城主。弟・折居明久とともに領内屈指の荒武者といわれる。１５８１年の柏山家内乱の際には家老・三田将監を殺害した。,1,0,0
40,柏山,明久,57,68,41,26,27,125,53,219,柏山明吉,かしやま,あきひさ,1561年,1576年,1595年,35,-,領地保全,突撃,速攻,全軍突撃,勲功,12,-,柏山明久,葛西家臣。柏山明吉の四男。折居館主。領内屈指の荒武者といわれ、柏山家内乱の際には家老・三田将監を殺害。葛西・大崎一揆では叛乱軍の総帥となった。,1,0,0
41,米谷,常秀,41,49,44,43,40,90,83,217,-,まいや,つねひで,1535年,1550年,1591年,57,-,家名存続,臨戦,万全,囮挑発,家名,7,-,米谷常秀,葛西家臣。米谷城主。常時の嫡男。米谷家は亀掛川千葉家の流れ。桃生郡深谷において弟（五男）・常忠、弟（七男）・信忠とともに伊達政宗に謀殺された。,0,0,0
42,武鑓,重信,55,58,54,36,42,113,78,245,-,むやり,しげのぶ,1526年,1541年,1591年,66,-,所領拡大,突撃,速攻,全軍突撃,家名,7,-,武鑓重信,葛西家臣。武鑓城主。富沢家の叛乱鎮定や、浜田家と熊谷家の兵乱鎮圧などに従軍し、活躍した。桃生郡深谷において弟の儀信とともに伊達政宗に謀殺された。,0,0,0
43,矢作,重常,46,51,49,40,41,97,81,227,-,やはぎ,しげつね,1555年,1570年,1591年,37,-,領地保全,臨戦,万全,囮挑発,勲功,7,-,矢作重常,葛西家臣。外館城主。浜田兵乱鎮定に功を立て、浜田家に代わって気仙郡の旗頭となった。この際、金の采配を許されたという。のちに伊達政宗に謀殺された。,0,0,0
44,大崎,義直,47,46,45,47,43,93,90,228,-,おおさき,よしなお,1506年,1521年,1577年,72,-,家名存続,臨戦,万全,囮挑発,勲功,8,-,大崎義直,大崎家１２代当主。伊達稙宗の援助によって家臣の謀叛を鎮圧するなど、勢力を次第に失う。天文の大乱では伊達晴宗に与力し稙宗に属した大崎義宣と戦った。,0,0,0
45,大崎,義隆,49,53,39,49,41,102,90,231,大崎義直,おおさき,よしたか,1548年,1563年,1603年,56,-,家名存続,臥薪嘗胆,奪力,本陣斬込,勲功,8,-,大崎義隆,大崎家１３代当主。義直の子。伊達政宗の軍を一度は退けるが、のちにその傘下に入る。豊臣秀吉の小田原征伐に遅参したため改易され、上杉景勝に仕えた。,1,0,0
46,一栗,放牛,66,57,70,51,60,123,111,304,-,いちくり,ほうぎゅう,1500年,1515年,1591年,92,-,所領拡大,足止め,回避,神出鬼没,家名,7,-,一栗放牛,大崎家臣。一栗城主。一栗高春の祖父という。１５９１年の葛西・大崎一揆の際は、９２歳の高齢であるにも関わらず居城に籠城して戦うが敗れ、戦死した。,0,0,0
47,一栗,高春,60,67,55,32,39,127,71,253,-,いちくり,たかはる,1557年,1572年,1614年,58,-,所領拡大,突撃,速攻,全軍突撃,勲功,11,-,一栗高春,大崎家臣。一栗城主。葛西・大崎一揆の際は居城に籠城し、最後まで奮戦する。一揆鎮定後は最上家に仕え、鶴岡城番を務めたが、謀叛を起こして誅せられた。,0,0,0
48,一迫,隆真,37,36,71,55,63,73,118,262,-,いちはさま,たかざね,1549年,1564年,1593年,45,-,領地保全,足止め,回避,神出鬼没,実利,8,-,一迫隆真,大崎家臣。真坂城主。伊豆守と称す。狩野姓も称した。一迫・狩野家は大崎一族の参謀を務めたという。天正末期の主家内乱に際しては、氏家吉継に味方した。,0,0,0
49,氏家,吉継,48,52,64,69,68,100,137,301,氏家隆継,うじいえ,よしつぐ,1537年,1552年,1591年,55,-,家名存続,気勢崩し,堅固,囮挑発,勲功,13,-,氏家吉継,大崎家臣。岩出山城主。大崎内乱の際には伊場野惣八郎と結び、反主流派の中心人物として活動した。主家の没落後は伊達政宗に仕えたが、間もなく病没した。,1,0,0
50,黒川,晴氏,74,73,66,52,58,147,110,323,-,くろかわ,はるうじ,1523年,1538年,1599年,77,-,所領拡大,急襲,復帰,囮挑発,家名,9,-,黒川晴氏,大崎家臣。鶴楯城主。黒川家は大崎家の庶流で、応永年間から伊達家に属す。１５８８年、伊達家の大崎領侵入の際は大崎家に味方し、伊達軍を撃破した。,0,0,0
51,四釜,隆秀,57,71,63,53,58,128,111,302,-,しかま,たかひで,1547年,1562年,1596年,50,-,家名存続,臥薪嘗胆,伏兵,本陣斬込,家名,11,-,四釜隆秀,大崎家臣。四釜城主。剛勇にして智力ありと謳われた。大崎家内乱の際には、主君・義隆の命で中新田城を守り、侵攻してきた伊達軍と抗戦、これを撃退した。,0,0,0
52,南条,隆信,73,62,69,34,48,135,82,286,-,なんじょう,たかのぶ,1559年,1574年,1593年,35,-,領地保全,挟撃巧者,疾走,神出鬼没,才覚,3,-,南条隆信,大崎家臣。中新田城主。大崎家内乱の際には居城を守備し、神技に等しい作戦と指揮で、見事に伊達政宗の軍勢を撃退。大崎家侍大将中の名将とたたえられた。,0,0,0
53,新井田,隆景,37,35,59,51,55,72,106,237,-,にいだ,たかかげ,1573年,1588年,1593年,21,-,家名存続,足止め,回避,神出鬼没,家名,11,-,新井田隆景,大崎家臣。新井田城主。義隆の小姓を務めた。家中屈指の美少年で、同じく小姓の伊場野惣八郎と寵を争い、これがきっかけで大崎家の内乱が引き起こされた。,0,0,0
54,宮崎,隆親,61,60,51,36,39,121,75,247,-,みやざき,たかちか,1542年,1557年,1596年,55,-,所領拡大,用心,斥候,神出鬼没,実利,4,-,宮崎隆親,大崎家臣。宮崎城主。侍大将を務めた。葛西・大崎一揆の際は総大将を務め、居城に籠城して伊達軍と戦ったが敗れた。落城後は秋田仙北に隠れ住んだという。,0,0,0
55,留守,顕宗,34,41,37,66,48,75,114,226,留守景宗,るす,あきむね,1519年,1534年,1586年,68,-,領地保全,激励,堅固,囮挑発,家名,3,-,留守顕宗,留守家１７代当主。景宗の嫡男。国分家らと戦いを繰り返した。のちに伊達晴宗の三男・政景を娘婿として隠居。この際嫡男・宗綱は高城家の養子となった。,1,0,0
56,伊達,政景,65,62,57,59,58,127,117,301,伊達晴宗,だて,まさかげ,1549年,1564年,1607年,59,-,領地保全,挟撃巧者,疾走,神出鬼没,実利,6,-,伊達政景,留守家１８代当主。伊達晴宗の三男。留守顕宗の娘を娶り家督を継ぐ。兄・輝宗や甥・政宗に従い、相馬家や最上家などと戦った。のちに伊達姓に復した。,1,0,0
57,国分,盛氏,43,46,40,51,43,89,94,223,-,こくぶん,もりうじ,1506年,1521年,1575年,70,-,家名存続,臨戦,万全,囮挑発,家名,7,-,国分盛氏,陸奥の豪族。能登守と称した。１１８９年、源頼朝が陸奥平泉の藤原家を滅ぼした際に、焼け落ちて名前だけが残っていた国分尼寺を、１５７０年に再建した。,0,0,0
58,国分,盛顕,29,43,44,37,36,72,73,189,国分盛氏,こくぶん,もりあき,1528年,1543年,1582年,55,-,所領拡大,臨戦,万全,囮挑発,家名,4,-,国分盛顕,陸奥の豪族。盛氏の子。国分家は源頼朝の奥州征伐に従った千葉常胤の五男・胤通を祖とする。子がなかったため、伊達晴宗の十男・盛重を養子として迎えた。,1,0,0
59,伊達,盛重,30,36,32,40,31,66,71,169,伊達晴宗,だて,もりしげ,1553年,1568年,1615年,63,-,領地保全,臨戦,万全,囮挑発,実利,10,-,伊達盛重,伊達家臣。伊達晴宗の十男。国分家を継ぐ。１５９９年、病と称して岩出山城に出仕せず、叛意を疑われたため出奔。姉の嫁ぎ先である佐竹家に身を寄せた。,1,0,0
60,相馬,盛胤,78,77,62,56,59,155,115,332,相馬顕胤,そうま,もりたね,1529年,1544年,1601年,73,-,所領拡大,挟撃巧者,疾走,神出鬼没,勲功,7,-,相馬盛胤,相馬家１５代当主。顕胤の嫡男。小高城主。天文の大乱後は伊達家と敵対し、各地で死闘を展開する。一方、近隣の田村清顕とは和睦し、所領の基盤を固めた。,1,0,0
61,相馬,義胤,72,66,57,51,53,138,104,299,相馬盛胤,そうま,よしたね,1548年,1563年,1635年,88,-,所領拡大,奮闘,強撃,全軍突撃,勲功,5,-,相馬義胤,相馬家１６代当主。盛胤の嫡男。伊達家と各地で抗争を展開した。関ヶ原合戦で西軍に属していったん改易されるが、伊達政宗の取りなしで本領を安堵された。,1,0,0
62,泉田,胤清,61,48,39,38,35,109,73,221,-,いずみだ,たねきよ,1563年,1578年,1602年,40,-,所領拡大,用心,斥候,神出鬼没,家名,6,-,泉田胤清,相馬家臣。泉田城主。１５８８年、守備していた大越城に攻め寄せてきた伊達政宗の軍を撃退するなど、主君・義胤に従って伊達家と攻防を繰り返した。,0,0,0
63,江井,胤治,33,36,33,66,45,69,111,213,-,えねい,たねはる,1504年,1519年,1588年,85,-,家名存続,激励,堅固,囮挑発,才覚,4,-,江井胤治,相馬家臣。顕胤・盛胤・義胤に仕え、内政や外交で活躍した。義胤に従って田村家を訪れた際、伊達家に通じた田村家臣の田村月斎に狙撃され、死去した。,0,0,0
64,佐藤,好信,43,60,46,56,49,103,105,254,-,さとう,よしのぶ,1514年,1529年,1563年,50,-,領地保全,用心,斥候,神出鬼没,才覚,5,-,佐藤好信,相馬家臣。佐藤家はもと岩城家臣であったが、好信の代に相馬家に属す。軍奉行を務めたが、郡左馬助の讒言により領地を没収され、失意のうちに病死した。,0,0,0
65,佐藤,為信,62,56,63,49,56,118,105,286,佐藤好信,さとう,ためのぶ,1543年,1558年,1591年,49,-,家名存続,用心,斥候,神出鬼没,家名,10,-,佐藤為信,相馬家臣。好信の子。小斎城主。伊達家との合戦の際、援軍に来た郡左馬助を討ち、父の敵をとる。直後に伊達家に属した。のちに佐沼の戦いで戦死した。,1,0,0
66,水谷,胤重,62,58,48,68,58,120,126,294,-,みずたに,たねしげ,1538年,1553年,1606年,69,-,所領拡大,臨戦,万全,囮挑発,勲功,4,-,水谷胤重,相馬家臣。関ヶ原合戦後、領内の通過を願う伊達政宗の殺害を唱える声が多い中で唯一反対し、政宗は無事領内を通過。この一件により、主家は改易を免れた。,0,0,0
67,岩城,重隆,65,58,67,68,69,123,137,327,岩城由隆,いわき,しげたか,1500年,1515年,1569年,70,-,家名存続,用心,斥候,神出鬼没,家名,10,-,岩城重隆,陸奥大館城主。伊達家の内紛（天文の大乱）の際は、娘・久保が晴宗の妻であった関係から、晴宗方に属した。佐竹義篤ともたびたび争った。和歌をよくした。,1,0,0
68,佐竹,貞隆,42,45,51,55,51,87,106,244,佐竹義重,さたけ,さだたか,1583年,1598年,1620年,38,-,領地保全,臨戦,万全,囮挑発,勲功,5,-,佐竹貞隆,陸奥大館城主。佐竹義重の三男。岩城常隆の養子となる。関ヶ原合戦に出陣せず改易された。のちに大坂の陣に参加し、信濃川中島１万石を与えられた。,1,0,0
69,船尾,昭直,57,63,65,50,57,120,107,292,-,ふなお,あきなお,1538年,1553年,1607年,70,-,家名存続,足止め,回避,神出鬼没,実利,8,-,船尾昭直,佐竹家臣。船尾家は岩城由隆の弟・隆輔を祖とする。佐竹家に属し義昭・義重・義宣の３代に渡って仕え、陸奥方面における佐竹家の先鋒として活躍した。,0,0,0
70,田村,隆顕,67,57,63,71,68,124,139,326,田村義顕,たむら,たかあき,1489年,1504年,1574年,86,-,領地保全,叱咤,伏兵,神出鬼没,家名,11,-,田村隆顕,陸奥の豪族。三春城主。伊達稙宗の娘を娶る。伊達家の内紛（天文の大乱）の際は舅・稙宗に与力した。佐竹義重・石川昭光の連合軍を破ったのちに急逝した。,1,0,0
71,小峰,義親,53,50,65,51,58,103,109,277,白河義綱,こみね,よしちか,1541年,1556年,1626年,86,-,領地保全,足止め,回避,神出鬼没,才覚,13,-,小峰義親,白河結城家臣。結城顕頼の子。結城義綱の子ともいう。宗家の義顕を追放して宗家を乗っ取る。のちに佐竹義重に敗れ、義重の子・義広を養子に迎え隠居した。,1,0,0
72,河東田,清重,60,68,54,66,60,128,126,308,-,かとうだ,きよしげ,1542年,1557年,1606年,65,-,領地保全,突撃,速攻,全軍突撃,実利,4,-,河東田清重,白河結城家臣。上総守と称した。武勇に優れ、善政を敷いたので民衆はよく服したという。佐竹家との戦いなどで活躍した。主家の滅亡後は伊達家に仕えた。,0,0,0
73,蘆名,盛氏,83,70,86,86,84,153,170,409,蘆名盛舜,あしな,もりうじ,1521年,1536年,1580年,60,-,所領拡大,采配,合流,神出鬼没,家名,11,-,蘆名盛氏,蘆名家１６代当主。蘆名家を伊達家と並ぶ奥州屈指の大名に育て上げた、蘆名家中興の祖。同盟をうまく利用し、会津一円から北越後に及ぶ所領を獲得した。,1,0,0
74,蘆名,盛興,61,53,43,53,46,114,99,256,蘆名盛氏,あしな,もりおき,1547年,1562年,1575年,29,-,家名存続,臨戦,万全,囮挑発,才覚,8,-,蘆名盛興,蘆名家１７代当主。盛氏の嫡男。父の隠居により家督を継ぐが、佐竹家との抗争中に夭逝した。盛興の病を治すために、父が領内での造酒を禁じたこともある。,1,0,0
75,二階堂,盛義,44,47,53,68,61,91,129,273,二階堂輝行,にかいどう,もりよし,1532年,1547年,1581年,50,-,家名存続,気勢崩し,堅固,囮挑発,家名,5,-,二階堂盛義,二階堂家１８代当主。はじめ蘆名盛氏と争うが、子・盛隆を人質に出して降伏。のちに盛隆が蘆名家を継いだため、援助を受けて二階堂家の勢力を回復した。,1,0,0
