武将姓,武将名,統率,武勇,知略,内政,外政,戦闘,政治,合計,父親,姓読み,名読み,誕生年,登場年,没年,寿命,義理親,志,戦法,補佐,作戦,気質,野心,母親,武将姓名,列伝,父親有無,母親有無,志区分
鈴木,重則,61,67,38,31,29,128,60,226,-,すずき,しげのり,1547年,1562年,1589年,43,-,領地保全,突撃,速攻,全軍突撃,勲功,2,-,鈴木重則,真田家臣。名胡桃城代。北条家臣・猪俣邦憲の奇襲を受け敗北、自害した。この事件は、私戦の禁令に反するとして、豊臣秀吉に小田原征伐の口実を与えた。,0,0,0
太田,康資,64,72,42,37,36,136,73,251,太田資高,おおた,やすすけ,1531年,1546年,1581年,51,-,家名存続,突撃,速攻,全軍突撃,実利,8,-,太田康資,北条家臣。資高の子。のちに里見家に属し、第二次国府台合戦に従軍した。武田家・上杉家に飛脚を送るなど、外交でも活躍。三十人力の豪傑であったという。,1,0,0
北条,氏勝,62,57,39,40,36,119,76,234,北条氏繁,ほうじょう,うじかつ,1559年,1574年,1611年,53,-,家名存続,用心,斥候,神出鬼没,家名,8,-,北条氏勝,北条家臣。氏繁の子。父の死後、玉縄城主となる。豊臣秀吉の小田原征伐の際は山中城を守るが落城、その後は居城に籠城するが降伏、戦後は徳川家に仕えた。,1,0,0
鵜殿,長照,52,58,44,39,38,110,77,231,鵜殿長持,うどの,ながてる,1533年,1548年,1562年,30,-,所領拡大,臨戦,万全,囮挑発,実利,6,-,鵜殿長照,今川家臣。長持の子。桶狭間合戦後、三河の武将が次々と徳川家に属す中、唯一今川方に残る。そのため、三河平定を目指す徳川軍の攻撃を受け、敗死した。,1,0,0
御宿,勘兵衛,67,68,29,24,23,135,47,211,-,みしゅく,かんべえ,1567年,1582年,1615年,49,-,家名存続,死兵,復帰,全軍突撃,勲功,7,-,御宿勘兵衛,北条家臣。初名は綱秀、別名に政友。今川・武田家に仕えたあと、結城秀康に仕官。秀康の子・忠直の代に出奔して大坂城に入城、大坂夏の陣にて戦死した。,0,0,0
松平,忠吉,58,65,42,57,47,123,104,269,松平元康,まつだいら,ただよし,1580年,1595年,1607年,28,-,天下統一,突撃,速攻,全軍突撃,勲功,5,-,松平忠吉,徳川家康の四男。関ヶ原合戦では舅・井伊直政とともに戦端を開く。負傷しながらも島津義弘軍を討つなど戦功を立て、戦後、尾張清洲６２万石を領した。,1,0,0
本多,重次,58,65,43,68,56,123,124,290,-,ほんだ,しげつぐ,1529年,1544年,1596年,68,-,所領拡大,逆撫で,地利,囮挑発,勲功,5,-,本多重次,徳川家臣。岡崎奉行を務め、「鬼作左」の異名をとる。豊臣秀吉の母・大政所が徳川家の人質となった際、冷遇したため秀吉の怒りを買い、閉居処分となった。,0,0,0
渡辺,守綱,62,84,33,25,25,146,50,229,-,わたなべ,もりつな,1542年,1557年,1620年,79,-,天下統一,奮闘,猛攻,全軍突撃,勲功,6,-,渡辺守綱,徳川家臣。各地を転戦して戦功を立て、「槍の半蔵」の異名をとる。関ヶ原合戦には旗本として参陣。晩年は尾張徳川家の家老となり、当主・義直を補佐した。,0,0,0
斯波,長秀,56,56,42,40,38,112,78,232,斯波義統,しば,ながひで,1541年,1556年,1593年,53,-,領地保全,用心,斥候,神出鬼没,家名,6,-,斯波長秀,織田家臣。斯波義統の次男。各地を転戦し、信濃平定後、信濃伊那郡を領す。本能寺の変後は豊臣秀吉に属して九州征伐などに従軍、再び信濃伊那郡を領した。,1,0,0
織田,信孝,55,62,35,49,38,117,87,239,織田信長,おだ,のぶたか,1558年,1573年,1583年,26,-,家督継承,用心,斥候,神出鬼没,家名,10,-,織田信孝,信長の三男。伊勢の豪族・神戸具盛の養子となり、家督を継ぐ。本能寺の変後、柴田勝家と結んで羽柴秀吉に対抗するが敗れ、秀吉の命により自害させられた。,1,0,0
織田,信澄,59,65,47,50,45,124,95,266,織田信勝,おだ,のぶずみ,1555年,1570年,1582年,28,-,天下統一,挟撃巧者,疾走,神出鬼没,家名,5,-,織田信澄,信勝の子。伯父・信長に仕える。明智光秀の娘を娶った。「一段の逸物」と評された器量の持ち主であったが、本能寺の変の際に、従兄弟・信孝に殺された。,1,0,0
河尻,秀長,37,58,41,30,30,95,60,196,河尻秀隆,かわじり,ひでなが,1554年,1569年,1600年,47,-,領地保全,臨戦,万全,囮挑発,勲功,6,-,河尻秀長,豊臣家臣。苗木城主。秀隆の子。小牧長久手合戦や小田原征伐などに従軍した。朝鮮派兵では肥前名護屋城に在陣する。関ヶ原合戦で西軍に属し、戦死した。,1,0,0
滝川,益重,64,71,42,37,36,135,73,250,-,たきがわ,ますしげ,1523年,1538年,1592年,70,-,所領拡大,突撃,速攻,全軍突撃,才覚,6,-,滝川益重,滝川家臣。一益の従兄弟。甥とも。本能寺の変後、一益とともに柴田勝家に属し北伊勢で羽柴秀吉軍と激戦を展開。のち秀吉に仕え、九州征伐などに従軍した。,0,0,0
塙,直政,56,64,44,67,54,120,121,285,-,ばん,なおまさ,1532年,1547年,1576年,45,-,家名存続,急襲,復帰,囮挑発,勲功,5,-,塙直政,織田家臣。赤母衣衆の１人。のちに原田姓を名乗る。主君・信長が蘭奢待を賜った際は、その奉行を務めた。石山本願寺攻めの際、一揆勢に攻められ戦死した。,0,0,0
佐久間,安政,43,60,44,38,37,103,75,222,佐久間盛次,さくま,やすまさ,1555年,1570年,1627年,73,-,所領拡大,突撃,速攻,全軍突撃,勲功,7,-,佐久間安政,柴田家臣。盛次の三男。はじめ保田姓を称した。賤ヶ岳合戦後は織田信雄に仕える。その後は北条家、蒲生家を経て徳川家に仕え、信濃飯山３万石を領した。,1,0,0
塙,団右衛門,61,74,30,24,24,135,48,213,-,ばん,だんえもん,1567年,1582年,1615年,49,-,所領拡大,奮闘,猛攻,全軍突撃,勲功,9,-,塙団右衛門,加藤家臣。鉄砲大将を務めたが、関ヶ原合戦の際に主君・嘉明と対立して出奔、浪人となる。のちに大坂城に入城、大坂夏の陣で浅野長晟軍と戦い、戦死した。,0,0,0
松野,重元,67,69,44,29,31,136,60,240,-,まつの,しげもと,1573年,1588年,1655年,83,-,家名存続,死兵,斥候,全軍突撃,実利,4,-,松野重元,小早川家臣。鉄砲頭を務め、主馬首に任官された。関ヶ原合戦では主君・秀秋の寝返りに呼応せず、戦場を離脱した。その後は田中吉政、徳川忠長に仕えた。,0,0,0
毛受,勝照,52,67,40,27,27,119,54,213,-,めんじゅ,かつてる,1551年,1566年,1583年,33,-,所領拡大,突撃,速攻,全軍突撃,仁義,3,-,毛受勝照,柴田家臣。主君・勝家の小姓頭として１万石を領す。賤ヶ岳合戦で柴田軍が壊走した際、羽柴軍の追撃を阻んで奮戦。勝家を越前へ退却させたあと、戦死した。,0,0,0
稲葉,貞通,50,60,47,55,49,110,104,261,稲葉一鉄,いなば,さだみち,1546年,1561年,1603年,58,-,家名存続,突撃,速攻,全軍突撃,家名,9,-,稲葉貞通,織田家臣。一鉄の長男。本能寺の変後は豊臣秀吉に仕えた。関ヶ原合戦では織田秀信に従い西軍に属すが、のち東軍に降伏。戦後、豊後臼杵５万石を領した。,1,0,0
溝尾,茂朝,36,61,45,30,32,97,62,204,-,みぞお,しげとも,1543年,1558年,1582年,40,-,家名存続,突撃,速攻,全軍突撃,実利,2,-,溝尾茂朝,明智家臣。通称は庄兵衛。主君・光秀の側近を務め、厚い信頼を受けた。山崎合戦の敗北後、光秀の命で介錯を行い、光秀の首を藪中へ隠したのち、自害した。,0,0,0
北畠,具教,70,80,36,50,40,150,90,276,北畠晴具,きたばたけ,とものり,1528年,1543年,1576年,49,-,所領拡大,奥義一閃,野襲,全軍突撃,家名,8,-,北畠具教,伊勢国司・北畠家８代当主。晴具の子。織田信長に敗れ、信長の次男・信雄を養子とするが、のちに殺された。塚原卜伝より秘伝「一の太刀」を授けられた。,1,0,0
武田,義信,64,76,41,47,42,140,89,270,武田晴信,たけだ,よしのぶ,1538年,1553年,1567年,30,-,家督継承,早駆け,猛攻,本陣斬込,家名,5,-,武田義信,信玄の長男。川中島合戦などで活躍。妻の実家・今川家攻略に反対し、謀叛を企むが失敗する。東光寺に幽閉され、２年後に死去した。自害とも病死ともいう。,1,0,0
土屋,昌恒,51,71,43,30,31,122,61,226,-,つちや,まさつね,1556年,1571年,1582年,27,-,領地保全,突撃,速攻,全軍突撃,勲功,2,-,土屋昌恒,武田家臣。金丸虎義の子。土屋家の家督を継ぐ。甲斐天目山において主君・勝頼を守って孤軍奮闘し、戦死した。その奮闘ぶりは「片手千人斬り」と呼ばれた。,0,0,0
高梨,秀政,48,61,47,53,48,109,101,257,高梨政頼,たかなし,ひでまさ,1528年,1543年,1572年,45,-,領地保全,突撃,速攻,全軍突撃,家名,7,-,高梨秀政,信濃の豪族。政頼の子。上杉家に属す。主君・謙信の関東出兵の際には、謙信の居城・春日山城を守った。第四次川中島合戦の際には、上杉軍の先鋒を務めた。,1,0,0
小笠原,貞慶,56,66,47,61,53,122,114,283,小笠原長時,おがさわら,さだよし,1546年,1561年,1595年,50,-,領地保全,死兵,斥候,全軍突撃,家名,6,-,小笠原貞慶,徳川家臣。長時の嫡男。各地を流浪後、徳川家康の後援を得て旧領を回復し、以後は徳川家に仕える。家康の孫娘を子・秀政に迎えるなど、関係強化に努めた。,1,0,0
内ヶ島,氏理,45,62,43,44,41,107,85,235,内ヶ島雅氏,うちがしま,うじまさ,1541年,1556年,1585年,45,-,領地保全,突撃,速攻,全軍突撃,実利,9,-,内ヶ島氏理,飛騨の豪族。帰雲城主。豊臣家臣・金森長近の飛騨侵攻軍に降るが、大地震により居城が埋没、山崩れによる洪水が起こり滅亡した。現代に埋蔵金伝説が残る。,1,0,0
色部,長実,64,65,47,50,45,129,95,271,色部勝長,いろべ,ながざね,1555年,1570年,1592年,38,-,所領拡大,急襲,猛攻,全軍突撃,才覚,7,-,色部長実,上杉家臣。平林城主。勝長の子。兄・顕長の死後、家督を継ぐ。出羽仙北一揆の鎮圧などで活躍した。豊臣秀吉の朝鮮派兵に従軍した際、大病を患い死去した。,1,0,0
大熊,朝秀,38,70,35,68,48,108,116,259,-,おおくま,ともひで,1517年,1532年,1582年,66,-,所領拡大,突撃,速攻,全軍突撃,勲功,11,-,大熊朝秀,長尾家臣。箕冠城主。主君・景虎の側近として政務に参画した。景虎の出家騒動に乗じて謀叛を起こすが敗れる。以後は武田家に仕え、甲斐天目山で戦死した。,0,0,0
北条,景広,46,64,47,33,35,110,68,225,北条高広,きたじょう,かげひろ,1548年,1563年,1579年,32,-,家名存続,突撃,速攻,全軍突撃,実利,9,-,北条景広,上杉家臣。高広の子。父とともに厩橋城に在城し、主君・謙信の関東経略を助けた。御館の乱の際は上杉景虎方の中核を担うが、のちに上杉景勝に暗殺された。,1,0,0
小島,弥太郎,46,92,30,23,23,138,46,214,-,こじま,やたろう,1522年,1537年,1582年,61,-,所領拡大,死兵,猛攻,全軍突撃,仁義,2,-,小島弥太郎,上杉家臣。幼少から側近として主君・謙信に仕えた。川中島合戦には旗本として従軍。剛力無双の豪傑で「鬼小島」と呼ばれて恐れられ、数々の伝説を残した。,0,0,0
甘粕,景継,74,70,38,39,33,144,72,254,-,あまかす,かげつぐ,1550年,1565年,1611年,62,-,所領拡大,用心,斥候,神出鬼没,才覚,6,-,甘粕景継,上杉家臣。酒田城主。主家の会津移封に従い、白石城代を務めた。関ヶ原合戦では抗戦を主張。のちに居城を空けた隙に伊達軍の攻撃により居城を失った。,0,0,0
水原,親憲,76,77,43,31,31,153,62,258,-,すいばら,ちかのり,1546年,1561年,1616年,71,-,所領拡大,突撃,速攻,全軍突撃,勲功,5,-,水原親憲,上杉家臣。水原館主。御館の乱の際は上杉景勝を支持した。主家の会津移封後は猪苗代城代を務める。大坂の陣で戦功を立て、徳川秀忠から感状を下賜された。,0,0,0
朝倉,景隆,55,61,45,49,44,116,93,254,-,あさくら,かげたか,1494年,1509年,1571年,78,-,領地保全,突撃,速攻,全軍突撃,家名,6,-,朝倉景隆,朝倉家臣。朝倉敏景の弟・経景の孫。朝倉宗滴が病で帰国したあと、一向一揆討伐の大将として加賀に出陣した。のち３人の子を相次いで失い、間もなく死去。,0,0,0
朝倉,景健,63,65,42,36,35,128,71,241,朝倉景隆,あさくら,かげたけ,1536年,1551年,1575年,40,-,家名存続,突撃,速攻,全軍突撃,勲功,11,-,朝倉景健,朝倉家臣。景隆の子。姉川合戦では朝倉軍の総大将として奮戦。主家滅亡後は織田信長に属すが、一向一揆に降伏したため、信長の怒りを買い自害させられた。,1,0,0
富田,景政,53,76,33,29,26,129,55,217,-,とだ,かげまさ,1525年,1540年,1594年,70,-,領地保全,奥義一閃,野襲,全軍突撃,芸道,5,-,富田景政,朝倉家臣。富田流剣術の始祖。勢源と号した。主家滅亡後は前田家に仕え、数々の合戦で活躍した。隠居後は七尾城の守将となり、豊臣秀次に剣術を指南した。,0,0,0
片桐,且元,51,64,47,58,51,115,109,271,片桐直貞,かたぎり,かつもと,1556年,1571年,1615年,60,-,領地保全,突撃,速攻,全軍突撃,実利,6,-,片桐且元,豊臣家臣。賤ヶ岳七本槍の１人。主君・秀頼の傅役として主家存続のため奔走するが、徳川家康への内通疑惑により大坂城を退去した。以後は徳川家に属した。,1,0,0
脇坂,安治,58,66,47,37,38,124,75,246,-,わきざか,やすはる,1554年,1569年,1626年,73,-,家名存続,突撃,速攻,全軍突撃,実利,11,-,脇坂安治,豊臣家臣。賤ヶ岳七本槍の１人。主君・秀吉の中国征伐の際に「丹波の赤鬼」赤井直正を討ち取る功を立てた。関ヶ原合戦では東軍に寝返り所領を安堵された。,0,0,0
六角,義治,44,63,34,38,30,107,68,209,六角義賢,ろっかく,よしはる,1544年,1559年,1612年,69,-,所領拡大,突撃,速攻,全軍突撃,家名,12,-,六角義治,近江の戦国大名。義賢の子。筆頭家老・後藤賢豊を謀殺し、家臣の信頼を失う。織田信長の上洛軍に敗れ、諸国を流浪した。晩年は豊臣秀頼の弓師範を務めた。,1,0,0
吉田,重政,49,74,46,27,30,123,57,226,-,よしだ,しげまさ,1485年,1500年,1569年,85,-,所領拡大,奥義一閃,野襲,全軍突撃,芸道,8,-,吉田重政,六角家臣。吉田流弓術の祖・重賢の子。主君・義賢から弓術の伝授を求められるが拒否して出奔、一時朝倉家に仕える。数年後に帰参し、義賢に弓術を授けた。,0,0,0
波多野,秀尚,54,61,41,42,39,115,81,237,波多野晴通,はたの,ひでなお,1555年,1570年,1579年,25,-,領地保全,突撃,速攻,全軍突撃,勲功,8,-,波多野秀尚,波多野家臣。晴通の子。兄・秀治とともに八上城に籠城して明智光秀軍と戦うが１年半に及ぶ攻防の末、降伏。秀治とともに安土に送られ、磔刑に処せられた。,1,0,0
一色,義道,65,62,44,40,38,127,78,249,一色義幸,いっしき,よしみち,1533年,1548年,1579年,47,-,家名存続,突撃,速攻,全軍突撃,家名,7,-,一色義道,丹後の戦国大名。義幸の子。京を追われた将軍・足利義昭を庇護したため、織田軍に攻められる。善戦するが、家臣・沼田勘解由の内通により敗れ、自害した。,1,0,0
一色,義清,50,60,47,42,41,110,83,240,一色義幸,いっしき,よしきよ,1535年,1550年,1582年,48,-,家名存続,突撃,速攻,全軍突撃,家名,7,-,一色義清,丹後の戦国大名。甥・満信が細川藤孝に謀殺されたあと、弓木城に入り一色宗家を継いだ。しかし、細川忠興に城を包囲されたため、敵陣に突入して戦死した。,1,0,0
服部,友貞,59,57,47,36,38,116,74,237,-,はっとり,ともさだ,1515年,1530年,1568年,54,-,所領拡大,臨戦,万全,囮挑発,才覚,7,-,服部友貞,伊勢の豪族。鯏浦砦を本拠とし、伊勢長島願証寺と結んで織田信長に抵抗した。のち、斎藤龍興ら信長に敗れた多くの武将が服部党に身を投じて信長と戦った。,0,0,0
中川,清秀,46,66,34,35,29,112,64,210,-,なかがわ,きよひで,1542年,1557年,1583年,42,-,家名存続,突撃,速攻,全軍突撃,家名,9,-,中川清秀,池田家臣。茨木城主。和田惟政を討つなど活躍した。のち荒木村重に属す。村重の逃亡後は羽柴秀吉に属し、山崎合戦で戦功を立てた。賤ヶ岳合戦で戦死した。,0,0,0
土橋,守重,58,57,47,33,35,115,68,230,土橋重隆,つちばし,もりしげ,1518年,1533年,1582年,65,-,家名存続,用心,斥候,神出鬼没,家名,7,-,土橋守重,紀伊の豪族。４人の子とともに石山本願寺に籠城して戦い、信長軍を苦しめた。のちに石山本願寺を退去するが、所領に戻って抵抗を続けたため、謀殺された。,1,0,0
糟屋,武則,59,67,43,39,37,126,76,245,-,かすや,たけのり,1562年,1577年,1607年,46,-,所領拡大,突撃,速攻,全軍突撃,才覚,7,-,糟屋武則,豊臣家臣。播磨の出身。賤ヶ岳七本槍の１人。関ヶ原合戦の際は西軍に属し、伏見城攻撃などに参加した。戦後、改易されるが、のちに幕臣として登用された。,0,0,0
後藤,勝元,64,59,47,44,42,123,86,256,後藤勝国,ごとう,かつもと,1538年,1553年,1579年,42,-,所領拡大,臨戦,万全,囮挑発,実利,9,-,後藤勝元,美作の豪族。三星城主。勝国の子。近隣豪族を支配下に置き、また尼子家や浦上家と友好を結んで、後藤家を隆盛に導いた。のち宇喜多直家に敗れて自害した。,1,0,0
竹内,久盛,36,74,39,28,27,110,55,204,-,たけうち,ひさもり,1503年,1518年,1595年,93,-,所領拡大,奥義一閃,野襲,全軍突撃,実利,6,-,竹内久盛,美作の豪族。一ノ瀬城主。宇喜多直家の美作侵攻軍に敗れ、その臣下となる。戦場における組み討ちを基本とした日本最古の柔術流派・竹内流柔術を創始した。,0,0,0
宇喜多,詮家,56,65,34,34,29,121,63,218,宇喜多忠家,うきた,あきいえ,1567年,1582年,1616年,50,-,家名存続,突撃,速攻,全軍突撃,実利,8,-,宇喜多詮家,宇喜多家臣。忠家の子。主家の内乱により出奔、徳川家康に属す。関ヶ原合戦の戦功により石見浜田２万石を領した。大坂の陣では家康の孫娘・千を救出した。,1,0,0
中島,元行,63,62,45,51,46,125,97,267,中島輝行,なかじま,もとゆき,1552年,1567年,1614年,63,-,領地保全,用心,斥候,神出鬼没,家名,4,-,中島元行,毛利家臣。経山城主。明禅寺合戦で戦死した父・輝行の跡を継ぐ。清水宗治の娘を娶り、宗治とともに各地の合戦で活躍した。のちに「中国兵乱記」を著した。,1,0,0
七条,兼仲,35,78,29,23,23,113,46,188,-,しちじょう,かねなか,1548年,1563年,1582年,35,-,家名存続,奮闘,猛攻,全軍突撃,勲功,5,-,七条兼仲,阿波の豪族。七条城主。中富川合戦で敗死した。怪力の豪傑で、武勇伝が多数伝承されている。大山寺で催される「力餅大会」は伝承の１つに由来するという。,0,0,0
法華津,前延,56,65,45,58,50,121,108,274,-,ほけづ,さきのぶ,1521年,1536年,1593年,73,-,領地保全,突撃,速攻,全軍突撃,家名,9,-,法華津前延,西園寺家臣。伊予法華津城主。西園寺十五将の１人。大友家の侵攻軍を何度も撃退した。豊臣秀吉の四国平定後、宇和郡を領した戸田勝隆の命により下城した。,0,0,0
吉良,親実,67,63,44,60,51,130,111,285,吉良親貞,きら,ちかざね,1563年,1578年,1588年,26,-,所領拡大,突撃,速攻,全軍突撃,才覚,7,-,吉良親実,長宗我部家臣。親貞の嫡男。宗家の家督相続に際し、四男・盛親の擁立を望む伯父・元親を諫めるが、対立勢力の久武親直に讒言され、元親に自害させられた。,1,0,0
江村,親家,67,68,45,34,35,135,69,249,吉田重俊,えむら,ちかいえ,1525年,1540年,1591年,67,-,所領拡大,用心,斥候,神出鬼没,勲功,6,-,江村親家,長宗我部家臣。吉田重俊の次男。江村親政の娘婿となる。父と同じく備後守を称したため「小備後」と呼ばれた。多くの合戦に参加し、近隣に勇名を轟かせた。,1,0,0
安芸,国虎,63,67,37,42,36,130,78,245,安芸元泰,あき,くにとら,1530年,1544年,1569年,40,-,領地保全,突撃,速攻,全軍突撃,実利,10,-,安芸国虎,土佐の豪族。安芸城主。長宗我部元親の居城・土佐岡豊城への招請を断り、元親と戦う。しかし元親の謀略により家臣団が内部崩壊を起こして敗北、自害した。,1,0,0
佐々木,小次郎,30,84,28,24,22,114,46,188,-,ささき,こじろう,1590年,1605年,1612年,23,-,所領拡大,奥義一閃,野襲,全軍突撃,芸道,6,-,佐々木小次郎,別名は巌流。武者修行の末、「燕返し」の剣法を創案する。増田長盛に仕えようとしたが豊臣秀吉に許されなかった。巌流島で宮本武蔵と試合をし、敗死する。,0,0,0
大友,親家,56,64,38,37,33,120,70,228,大友義鎮,おおとも,ちかいえ,1561年,1576年,1641年,81,-,家名存続,突撃,速攻,全軍突撃,家名,8,-,大友親家,大友家臣。宗麟の次男。父の命で僧侶となるが、武術に励み、のちに還俗。島津義久に通じたため、所領を没収される。主家改易後は肥後細川家などに仕えた。,1,0,0
田北,鎮周,54,64,44,38,37,118,75,237,-,たきた,しげかね,1543年,1558年,1578年,36,-,家名存続,突撃,速攻,全軍突撃,勲功,8,-,田北鎮周,大友家臣。豊後蚊ノ尾城主。加判衆を務めた。耳川合戦の際、総大将・田原親賢が佐伯惟教の慎重論を支持した事に憤り先鋒として島津軍に突撃し、戦死した。,0,0,0
原田,信種,50,57,45,44,41,107,85,237,原田種吉,はらだ,のぶたね,1560年,1575年,1598年,39,原田隆種,所領拡大,臨戦,万全,囮挑発,才覚,8,-,原田信種,筑前の豪族。高祖城主。草野鎮永の子。原田隆種の子・親種の死後、養子となり家督を継ぐ。のちに豊臣秀吉に降り、所領を安堵された。朝鮮派兵で戦死した。,1,0,0
